Actor,count
Joe Cole,2
Katie Lowes,2
Heather O'Rourke,2
Scout Taylor-Compton,2
John Vernon,2
Kath Soucie,2
Matt Smith,2
Andrew Bryniarski,2
Maurice Compte,2
Geoff Bell,2
Michael Kitchen,2
Ian Ziering,2
Jennifer Saunders,2
William Devane,2
Karan Brar,2
Obba Babatundé,2
Kiersey Clemons,2
Rob Moran,2
Method Man,2
Haley Ramm,2
Oliver James,2
Woo-sung Jung,2
Bill Maher,2
Ian Whyte,2
Joan Plowright,2
James Gammon,2
Amy Madigan,2
Ato Essandoh,2
Anita Briem,2
Tom Hulce,2
Tania Saulnier,2
Jacqueline Bisset,2
Jamie Foreman,2
Kwok-Kwan Chan,2
April Winchell,2
Romeo Miller,2
Jean Smart,2
